#Node1	Node2	weight
Q15628	Q9Y6Q6	0.75
Q15628	P20333	0.75
Q15628	P31689	0.75
Q15628	O14980	0.311133
Q15628	O15111	0.75
Q15628	Q13546	0.75
O00159	Q9Y6K9	0.75
O00159	P03372	0.75
O00159	Q9GZS1	0.75
O00159	P62993	0.75
O00159	P05412	0.41388500000000006
O00159	Q9H9Y6	0.75
O00159	P32121	0.710749
O00159	P33992	0.311133
O00159	P33993	0.41388500000000006
Q9Y230	Q9NYJ8	0.75
Q9Y230	Q13547	0.311133
Q9Y230	P62993	0.75
Q9Y230	Q9Y4K3	0.75
Q9Y230	Q12933	0.75
Q9Y230	Q93009	0.75
Q9Y230	P19838	0.75
Q9Y230	P03372	0.7457060000000001
Q9Y230	Q92769	0.311133
Q9Y230	O75530	0.311133
Q9Y230	O95602	0.710749
Q9Y230	P20749	0.311133
Q9Y230	P05412	0.41388500000000006
Q9Y230	O14980	0.311133
Q9Y230	Q00653	0.473922
Q9Y230	Q14164	0.75
Q9Y230	Q09472	0.75
Q9Y230	Q04206	0.75
Q9Y230	P52434	0.311133
Q9Y230	P01106	0.75
P03372	Q13114	0.311133
P03372	P07910	0.49229300000000004
P03372	P49116	0.49229300000000004
P03372	P62875	0.666441
P03372	P10275	0.75
P03372	Q9NYJ8	0.75
P03372	P27986	0.75
P03372	O14980	0.311133
P03372	P11142	0.75
P03372	Q14192	0.28041900000000003
P03372	P62263	0.75
P03372	Q13547	0.75
P03372	Q04206	0.75
P03372	P31689	0.38995799999999997
P03372	P40763	0.75
P03372	P78527	0.311133
P03372	O00159	0.75
P03372	P20749	0.311133
P03372	Q09472	0.75
P03372	Q00653	0.38995799999999997
P03372	P38646	0.311133
P03372	P12931	0.75
P03372	Q9Y4K3	0.311133
P03372	P52597	0.75
P03372	Q9Y6X2	0.201461
P03372	P23396	0.311133
P03372	Q9BYM8	0.75
P03372	P42224	0.348804
P03372	Q92793	0.75
P03372	Q9Y230	0.7457060000000001
P03372	Q05516	0.75
P03372	Q15796	0.75
P03372	P51532	0.75
P03372	P01106	0.75
P03372	Q92905	0.311133
P03372	P63279	0.75
P03372	O14497	0.49229300000000004
P03372	Q92769	0.75
P03372	P05412	0.75
P03372	P19838	0.75
P03372	P52434	0.666441
P03372	Q969G3	0.75
P01106	P78347	0.75
P01106	P40763	0.75
P01106	P25205	0.75
P01106	Q93009	0.75
P01106	P51617	0.7457060000000001
P01106	Q9GZS1	0.473922
P01106	Q8TAQ2	0.75
P01106	P11142	0.38995799999999997
P01106	Q9Y6K9	0.75
P01106	P78527	0.7457060000000001
P01106	P52597	0.75
P01106	Q92793	0.75
P01106	Q15796	0.75
P01106	O14497	0.473922
P01106	P05412	0.75
P01106	Q14192	0.7457060000000001
P01106	O00159	0.473922
P01106	P20749	0.473922
P01106	P29590	0.75
P01106	Q09472	0.75
P01106	Q92922	0.75
P01106	Q9Y230	0.75
P01106	Q969G3	0.473922
P01106	P07910	0.75
P01106	O14980	0.7457060000000001
P01106	P06400	0.28041900000000003
P01106	Q04206	0.75
P01106	O15111	0.710749
P01106	Q00653	0.473922
P01106	P43405	0.473922
P01106	Q9H9Y6	0.473922
P01106	P33993	0.75
P01106	P51532	0.75
P01106	Q12824	0.75
P78527	P31749	0.75
P78527	P62993	0.75
P78527	P25963	0.473922
P78527	Q04206	0.75
