#u	v	pathways
Q12933	O14920	hsa05160|hsa05170|hsa04920|hsa04932|hsa05167|hsa05163|hsa05168
O14920	Q12933	hsa05160|hsa05170|hsa04920|hsa04932|hsa05167|hsa05163|hsa05168
Q9Y6K9	P25963	hsa05135|hsa05215|hsa05162|hsa04659|hsa05131|hsa04623|hsa04658|hsa05161|hsa05200|hsa04210|hsa04668|hsa05222|hsa05145|hsa04920|hsa05132|hsa05166|hsa05168|hsa04625|hsa05160|hsa05169|hsa05130|hsa05164|hsa04062|hsa05220|hsa05235|hsa05167|hsa05142|hsa05163
P25963	Q9Y6K9	hsa05135|hsa05215|hsa05162|hsa04659|hsa05131|hsa04623|hsa04658|hsa05161|hsa05200|hsa04210|hsa04668|hsa05222|hsa05145|hsa04920|hsa05132|hsa05166|hsa05168|hsa04625|hsa05160|hsa05169|hsa05130|hsa05164|hsa04062|hsa05220|hsa05235|hsa05167|hsa05142|hsa05163
O15111	P25963	hsa05135|hsa05215|hsa05162|hsa04659|hsa05131|hsa04623|hsa04658|hsa05161|hsa05200|hsa05120|hsa04210|hsa04668|hsa05222|hsa05145|hsa04920|hsa04621|hsa05132|hsa05166|hsa05168|hsa04625|hsa05160|hsa05169|hsa05130|hsa05164|hsa04062|hsa05220|hsa05235|hsa05167|hsa05142|hsa05163
P25963	O15111	hsa05135|hsa05215|hsa05162|hsa04659|hsa05131|hsa04623|hsa04658|hsa05161|hsa05200|hsa05120|hsa04210|hsa04668|hsa05222|hsa05145|hsa04920|hsa04621|hsa05132|hsa05166|hsa05168|hsa04625|hsa05160|hsa05169|hsa05130|hsa05164|hsa04062|hsa05220|hsa05235|hsa05167|hsa05142|hsa05163
O14920	P25963	hsa04064|hsa04622|hsa05135|hsa04931|hsa05215|hsa05162|hsa04659|hsa04380|hsa05131|hsa04623|hsa04658|hsa05161|hsa05200|hsa04660|hsa05120|hsa04210|hsa04668|hsa05222|hsa05145|hsa04920|hsa04621|hsa05132|hsa05166|hsa05168|hsa04625|hsa04722|hsa05160|hsa05169|hsa05130|hsa05164|hsa04657|hsa04062|hsa05220|hsa05235|hsa04662|hsa05167|hsa05142|hsa04620|hsa05163
P25963	O14920	hsa04064|hsa04622|hsa05135|hsa04931|hsa05215|hsa05162|hsa04659|hsa04380|hsa05131|hsa04623|hsa04658|hsa05161|hsa05200|hsa04660|hsa05120|hsa04210|hsa04668|hsa05222|hsa05145|hsa04920|hsa04621|hsa05132|hsa05166|hsa05168|hsa04625|hsa04722|hsa05160|hsa05169|hsa05130|hsa05164|hsa04657|hsa04062|hsa05220|hsa05235|hsa04662|hsa05167|hsa05142|hsa04620|hsa05163
Q14164	Q14653	hsa05162|hsa04622|hsa05165|hsa05160|hsa05169|hsa05164|hsa04623|hsa04621|hsa05161|hsa05167|hsa04620|hsa05168
Q14653	Q14164	hsa05162|hsa04622|hsa05165|hsa05160|hsa05169|hsa05164|hsa04623|hsa04621|hsa05161|hsa05167|hsa04620|hsa05168
Q14164	Q92985	hsa04622|hsa05160|hsa05169|hsa04623|hsa04621|hsa05161|hsa05167|hsa04620|hsa05168
Q92985	Q14164	hsa04622|hsa05160|hsa05169|hsa04623|hsa04621|hsa05161|hsa05167|hsa04620|hsa05168
Q9UHD2	Q14653	hsa05162|hsa04622|hsa05165|hsa05160|hsa05170|hsa05169|hsa05164|hsa05131|hsa04623|hsa04621|hsa05135|hsa05161|hsa05167|hsa04620|hsa05163|hsa05168
Q14653	Q9UHD2	hsa05162|hsa04622|hsa05165|hsa05160|hsa05170|hsa05169|hsa05164|hsa05131|hsa04623|hsa04621|hsa05135|hsa05161|hsa05167|hsa04620|hsa05163|hsa05168
Q9UHD2	Q92985	hsa04622|hsa05160|hsa05169|hsa04623|hsa04621|hsa05161|hsa05167|hsa04620|hsa05168
Q92985	Q9UHD2	hsa04622|hsa05160|hsa05169|hsa04623|hsa04621|hsa05161|hsa05167|hsa04620|hsa05168
P19525	P05198	hsa05162|hsa05160|hsa05164|hsa04141|hsa05168
P05198	P19525	hsa05162|hsa05160|hsa05164|hsa04141|hsa05168
Q9NZJ5	P05198	hsa05162|hsa04210|hsa05160|hsa05012|hsa05010|hsa04932|hsa04141|hsa04140|hsa05168
P05198	Q9NZJ5	hsa05162|hsa04210|hsa05160|hsa05012|hsa05010|hsa04932|hsa04141|hsa04140|hsa05168
Q9P2K8	P05198	hsa05162|hsa05160|hsa04141|hsa04140|hsa05168
P05198	Q9P2K8	hsa05162|hsa05160|hsa04141|hsa04140|hsa05168
Q9BQI3	P05198	hsa05162|hsa04141|hsa05168|hsa05160
P05198	Q9BQI3	hsa05162|hsa04141|hsa05168|hsa05160
P23458	P52630	hsa05162|hsa05167|hsa05160|hsa05169|hsa04380|hsa05164|hsa04621|hsa05161|hsa05200|hsa04217|hsa04630|hsa05168
P52630	P23458	hsa05162|hsa05167|hsa05160|hsa05169|hsa04380|hsa05164|hsa04621|hsa05161|hsa05200|hsa04217|hsa04630|hsa05168
P23458	P42224	hsa05162|hsa05167|hsa05160|hsa05145|hsa05169|hsa05140|hsa04380|hsa05164|hsa04621|hsa05161|hsa05235|hsa05200|hsa04217|hsa04630|hsa05152|hsa05168|hsa05212
P42224	P23458	hsa05162|hsa05167|hsa05160|hsa05145|hsa05169|hsa05140|hsa04380|hsa05164|hsa04621|hsa05161|hsa05235|hsa05200|hsa04217|hsa04630|hsa05152|hsa05168|hsa05212
P29597	P52630	hsa05162|hsa05167|hsa05160|hsa05169|hsa04380|hsa05164|hsa05161|hsa04217|hsa04630|hsa05168
P52630	P29597	hsa05162|hsa05167|hsa05160|hsa05169|hsa04380|hsa05164|hsa05161|hsa04217|hsa04630|hsa05168
P29597	P42224	hsa05162|hsa05167|hsa05160|hsa05169|hsa04380|hsa05164|hsa05161|hsa04217|hsa04630|hsa05168
P42224	P29597	hsa05162|hsa05167|hsa05160|hsa05169|hsa04380|hsa05164|hsa05161|hsa04217|hsa04630|hsa05168
O60674	P42224	hsa05145|hsa05140|hsa05164|hsa04933|hsa04062|hsa05161|hsa05235|hsa05200|hsa04935|hsa04217|hsa04630|hsa05152|hsa05168|hsa04917
P42224	O60674	hsa05145|hsa05140|hsa05164|hsa04933|hsa04062|hsa05161|hsa05235|hsa05200|hsa04935|hsa04217|hsa04630|hsa05152|hsa05168|hsa04917
P08648	P12931	hsa05135|hsa05205|hsa05168|hsa04810
P12931	P08648	hsa05135|hsa05205|hsa05168|hsa04810
P05106	P12931	hsa04810|hsa04510|hsa04919|hsa05418|hsa05163|hsa05168
P12931	P05106	hsa04810|hsa04510|hsa04919|hsa05418|hsa05163|hsa05168
P12931	P43405	hsa05152|hsa05168
P43405	P12931	hsa05152|hsa05168
P43405	Q9H257	hsa04625|hsa05152|hsa05168
Q9H257	P43405	hsa04625|hsa05152|hsa05168
O60603	Q99836	hsa05162|hsa05145|hsa05170|hsa05169|hsa05140|hsa05134|hsa05132|hsa05161|hsa05235|hsa05142|hsa05144|hsa04620|hsa05152|hsa05168
Q99836	O60603	hsa05162|hsa05145|hsa05170|hsa05169|hsa05140|hsa05134|hsa05132|hsa05161|hsa05235|hsa05142|hsa05144|hsa04620|hsa05152|hsa05168
Q9NR96	Q99836	hsa05162|hsa05143|hsa05132|hsa05235|hsa05142|hsa05144|hsa04620|hsa05152|hsa05168
Q99836	Q9NR96	hsa05162|hsa05143|hsa05132|hsa05235|hsa05142|hsa05144|hsa04620|hsa05152|hsa05168
Q99836	Q9NWZ3	hsa05162|hsa04064|hsa04010|hsa05145|hsa05170|hsa05169|hsa05140|hsa05130|hsa05164|hsa05133|hsa04621|hsa05135|hsa05132|hsa05161|hsa05142|hsa04620|hsa05152|hsa05168
Q9NWZ3	Q99836	hsa05162|hsa04064|hsa04010|hsa05145|hsa05170|hsa05169|hsa05140|hsa05130|hsa05164|hsa05133|hsa04621|hsa05135|hsa05132|hsa05161|hsa05142|hsa04620|hsa05152|hsa05168
Q99836	P51617	hsa05162|hsa04064|hsa04010|hsa05145|hsa05170|hsa05169|hsa05140|hsa05130|hsa05133|hsa05135|hsa05132|hsa05161|hsa05142|hsa04620|hsa05168
P51617	Q99836	hsa05162|hsa04064|hsa04010|hsa05145|hsa05170|hsa05169|hsa05140|hsa05130|hsa05133|hsa05135|hsa05132|hsa05161|hsa05142|hsa04620|hsa05168
Q99836	Q9Y4K3	hsa04064|hsa04620|hsa05235|hsa05168
Q9Y4K3	Q99836	hsa04064|hsa04620|hsa05235|hsa05168
O15455	Q8IUC6	hsa05165|hsa05160|hsa05164|hsa05161|hsa04217|hsa05167|hsa04620|hsa05168
Q8IUC6	O15455	hsa05165|hsa05160|hsa05164|hsa05161|hsa04217|hsa05167|hsa04620|hsa05168
Q8IUC6	Q9Y4K3	hsa04064|hsa04620|hsa05168|hsa05160
Q9Y4K3	Q8IUC6	hsa04064|hsa04620|hsa05168|hsa05160
P51617	O15111	hsa05168
O15111	P51617	hsa05168
Q9Y4K3	O15111	hsa05142|hsa05169|hsa05168
O15111	Q9Y4K3	hsa05142|hsa05169|hsa05168
O15111	Q92985	hsa04620|hsa05168
Q92985	O15111	hsa04620|hsa05168
Q9NWZ3	Q15750	hsa05169|hsa04064|hsa05168
Q15750	Q9NWZ3	hsa05169|hsa04064|hsa05168
Q9NWZ3	Q9NYJ8	hsa05169|hsa04064|hsa05168
Q9NYJ8	Q9NWZ3	hsa05169|hsa04064|hsa05168
Q9NWZ3	O43318	hsa04064|hsa05168
O43318	Q9NWZ3	hsa04064|hsa05168
P51617	Q15750	hsa05169|hsa04064|hsa05168
Q15750	P51617	hsa05169|hsa04064|hsa05168
P51617	Q9NYJ8	hsa05169|hsa04064|hsa05168
Q9NYJ8	P51617	hsa05169|hsa04064|hsa05168
P51617	O43318	hsa04064|hsa05168
O43318	P51617	hsa04064|hsa05168
Q9Y4K3	Q15750	hsa04064|hsa04010|hsa05145|hsa05170|hsa05169|hsa05140|hsa05130|hsa04380|hsa05131|hsa05135|hsa05132|hsa05161|hsa05168
Q15750	Q9Y4K3	hsa04064|hsa04010|hsa05145|hsa05170|hsa05169|hsa05140|hsa05130|hsa04380|hsa05131|hsa05135|hsa05132|hsa05161|hsa05168
Q9Y4K3	Q9NYJ8	hsa05162|hsa04064|hsa04010|hsa05145|hsa05170|hsa05169|hsa05140|hsa05130|hsa04380|hsa05131|hsa05135|hsa05132|hsa05168
Q9NYJ8	Q9Y4K3	hsa05162|hsa04064|hsa04010|hsa05145|hsa05170|hsa05169|hsa05140|hsa05130|hsa04380|hsa05131|hsa05135|hsa05132|hsa05168
Q9Y4K3	O43318	hsa05162|hsa04064|hsa05145|hsa05170|hsa05169|hsa05140|hsa05130|hsa04380|hsa04657|hsa05131|hsa05135|hsa05132|hsa04620|hsa05168
O43318	Q9Y4K3	hsa05162|hsa04064|hsa05145|hsa05170|hsa05169|hsa05140|hsa05130|hsa04380|hsa04657|hsa05131|hsa05135|hsa05132|hsa04620|hsa05168
Q15750	Q9Y6K9	hsa05170|hsa05169|hsa05130|hsa05132|hsa05168
Q9Y6K9	Q15750	hsa05170|hsa05169|hsa05130|hsa05132|hsa05168
Q15750	O15111	hsa05170|hsa05169|hsa05130|hsa05131|hsa05132|hsa05168
O15111	Q15750	hsa05170|hsa05169|hsa05130|hsa05131|hsa05132|hsa05168
Q15750	O14920	hsa05170|hsa05169|hsa05130|hsa05131|hsa05135|hsa05132|hsa05168
O14920	Q15750	hsa05170|hsa05169|hsa05130|hsa05131|hsa05135|hsa05132|hsa05168
Q9NYJ8	Q9Y6K9	hsa05162|hsa05170|hsa05169|hsa05130|hsa05132|hsa05168
Q9Y6K9	Q9NYJ8	hsa05162|hsa05170|hsa05169|hsa05130|hsa05132|hsa05168
Q9NYJ8	O15111	hsa05162|hsa05170|hsa05169|hsa05130|hsa05131|hsa05132|hsa05168
O15111	Q9NYJ8	hsa05162|hsa05170|hsa05169|hsa05130|hsa05131|hsa05132|hsa05168
Q9NYJ8	O14920	hsa05162|hsa05170|hsa05169|hsa05130|hsa05131|hsa05135|hsa05132|hsa05168
O14920	Q9NYJ8	hsa05162|hsa05170|hsa05169|hsa05130|hsa05131|hsa05135|hsa05132|hsa05168
O43318	Q9Y6K9	hsa05162|hsa04010|hsa05145|hsa05170|hsa05169|hsa05130|hsa05132|hsa05161|hsa05418|hsa05168
Q9Y6K9	O43318	hsa05162|hsa04010|hsa05145|hsa05170|hsa05169|hsa05130|hsa05132|hsa05161|hsa05418|hsa05168
O43318	O15111	hsa05162|hsa04010|hsa05145|hsa05170|hsa05169|hsa05130|hsa05131|hsa04621|hsa05132|hsa05161|hsa05418|hsa05168
O15111	O43318	hsa05162|hsa04010|hsa05145|hsa05170|hsa05169|hsa05130|hsa05131|hsa04621|hsa05132|hsa05161|hsa05418|hsa05168
O43318	O14920	hsa04064|hsa05135|hsa05162|hsa04380|hsa05131|hsa05161|hsa04660|hsa04668|hsa04010|hsa05145|hsa04621|hsa05132|hsa05168|hsa05170|hsa05169|hsa05130|hsa04657|hsa05418|hsa04620
O14920	O43318	hsa04064|hsa05135|hsa05162|hsa04380|hsa05131|hsa05161|hsa04660|hsa04668|hsa04010|hsa05145|hsa04621|hsa05132|hsa05168|hsa05170|hsa05169|hsa05130|hsa04657|hsa05418|hsa04620
O95786	Q7Z434	hsa05162|hsa04622|hsa05160|hsa05169|hsa05164|hsa04623|hsa05161|hsa05168
Q7Z434	O95786	hsa05162|hsa04622|hsa05160|hsa05169|hsa05164|hsa04623|hsa05161|hsa05168
Q9BYX4	Q7Z434	hsa05162|hsa04622|hsa05164|hsa05161|hsa05168
Q7Z434	Q9BYX4	hsa05162|hsa04622|hsa05164|hsa05161|hsa05168
Q7Z434	Q9Y4K3	hsa05169|hsa04622|hsa05168
Q9Y4K3	Q7Z434	hsa05169|hsa04622|hsa05168
Q7Z434	Q13114	hsa05162|hsa04622|hsa05160|hsa05169|hsa05164|hsa04621|hsa05161|hsa05168
Q13114	Q7Z434	hsa05162|hsa04622|hsa05160|hsa05169|hsa05164|hsa04621|hsa05161|hsa05168
Q13114	Q14164	hsa05162|hsa05165|hsa05160|hsa05169|hsa05164|hsa04621|hsa05167|hsa04620|hsa05168
Q14164	Q13114	hsa05162|hsa05165|hsa05160|hsa05169|hsa05164|hsa04621|hsa05167|hsa04620|hsa05168
Q13114	Q9UHD2	hsa05162|hsa05165|hsa05160|hsa05169|hsa05164|hsa05161|hsa05167|hsa04620|hsa05168
Q9UHD2	Q13114	hsa05162|hsa05165|hsa05160|hsa05169|hsa05164|hsa05161|hsa05167|hsa04620|hsa05168
O14543	P23458	hsa04630|hsa04380|hsa05168
P23458	O14543	hsa04630|hsa04380|hsa05168
O14543	P29597	hsa04630|hsa04380|hsa05168
P29597	O14543	hsa04630|hsa04380|hsa05168
Q86WV6	Q9UHD2	hsa05170|hsa05131|hsa04621|hsa04623|hsa05163|hsa05168
Q9UHD2	Q86WV6	hsa05170|hsa05131|hsa04621|hsa04623|hsa05163|hsa05168
Q03518	P30101	hsa05170|hsa05169|hsa05168|hsa05163
P30101	Q03518	hsa05170|hsa05169|hsa05168|hsa05163
Q03518	P27797	hsa05170|hsa05169|hsa05168|hsa05163
P27797	Q03518	hsa05170|hsa05169|hsa05168|hsa05163
O15533	P30101	hsa05170|hsa05169|hsa05168|hsa05163
P30101	O15533	hsa05170|hsa05169|hsa05168|hsa05163
O15533	P27797	hsa05170|hsa05169|hsa05168|hsa05163
P27797	O15533	hsa05170|hsa05169|hsa05168|hsa05163
P27797	P13747	hsa05170|hsa05169|hsa05168|hsa05163
P13747	P27797	hsa05170|hsa05169|hsa05168|hsa05163
P01889	P61769	hsa05170|hsa05169|hsa05166|hsa05163|hsa05168
P61769	P01889	hsa05170|hsa05169|hsa05166|hsa05163|hsa05168
P17693	P61769	hsa05170|hsa05169|hsa05166|hsa05163|hsa05168
P61769	P17693	hsa05170|hsa05169|hsa05166|hsa05163|hsa05168
P30511	P61769	hsa05170|hsa05169|hsa05166|hsa05163|hsa05168
P61769	P30511	hsa05170|hsa05169|hsa05166|hsa05163|hsa05168
P10321	P61769	hsa05170|hsa05169|hsa05166|hsa05163|hsa05168
P61769	P10321	hsa05170|hsa05169|hsa05166|hsa05163|hsa05168
P13747	P61769	hsa05170|hsa05169|hsa05166|hsa05163|hsa05168
P61769	P13747	hsa05170|hsa05169|hsa05166|hsa05163|hsa05168
P04439	P61769	hsa05170|hsa05169|hsa05166|hsa05163|hsa05168
P61769	P04439	hsa05170|hsa05169|hsa05166|hsa05163|hsa05168
P04233	P20036	hsa05168
P20036	P04233	hsa05168
P04233	P01909	hsa05168
P01909	P04233	hsa05168
P04233	P01903	hsa05168
P01903	P04233	hsa05168
P04233	P04440	hsa05168
P04440	P04233	hsa05168
P04233	P28068	hsa05168|hsa04612
P28068	P04233	hsa05168|hsa04612
Q96SB4	Q13242	hsa05168
Q13242	Q96SB4	hsa05168
Q96SB4	Q16629	hsa05168
Q16629	Q96SB4	hsa05168
Q96SB4	Q01130	hsa05168
Q01130	Q96SB4	hsa05168
Q96SB4	Q07955	hsa05168
Q07955	Q96SB4	hsa05168
Q96SB4	Q9BRL6	hsa05168
Q9BRL6	Q96SB4	hsa05168
Q96SB4	Q08170	hsa05168
Q08170	Q96SB4	hsa05168
Q96SB4	P84103	hsa05168
P84103	Q96SB4	hsa05168
Q96SB4	Q13243	hsa05168
Q13243	Q96SB4	hsa05168
Q96SB4	Q13247	hsa05168
Q13247	Q96SB4	hsa05168
P01569	P48551	hsa04650|hsa05162|hsa05165|hsa05160|hsa05169|hsa05164|hsa04621|hsa04060|hsa04151|hsa05200|hsa04217|hsa05167|hsa04630|hsa05168
P48551	P01569	hsa04650|hsa05162|hsa05165|hsa05160|hsa05169|hsa05164|hsa04621|hsa04060|hsa04151|hsa05200|hsa04217|hsa05167|hsa04630|hsa05168
