#Node1	Node2	weight
Q9Y297	O15169	0.75
Q07954	P61981	0.75
Q07954	P12757	0.717303
Q9UMX0	O75084	0.717303
Q9UMX0	Q9NRR5	0.75
Q9UMX0	P55036	0.75
Q9UMX0	P62987	0.426525
Q9UMX0	O15198	0.717303
Q9P2D1	Q15047	0.75
Q9P2D1	P37231	0.75
O00144	Q92997	0.75
O00144	O75581	0.35629099999999997
O00144	O14640	0.75
O00144	O14641	0.75
O00144	P35222	0.75
O00144	Q99750	0.717303
O00144	O75197	0.35629099999999997
O75084	Q9UMX0	0.717303
O75084	Q92997	0.75
O75084	O75581	0.35629099999999997
O75084	Q9NRR5	0.75
O75084	O14640	0.75
O75084	O14641	0.75
O75084	P35222	0.75
O75084	O75197	0.35629099999999997
Q12778	P48729	0.426525
Q12778	P61981	0.75
Q12778	P37231	0.426525
Q12778	Q13485	0.75
Q12778	P63104	0.75
Q12778	P10275	0.75
Q12778	P35222	0.717303
Q12778	P84022	0.75
P48729	Q9Y2T1	0.75
P48729	P25054	0.426525
P48729	O75581	0.426525
P48729	Q9UJU2	0.426525
P48729	O14640	0.426525
P48729	Q13469	0.75
P48729	Q12778	0.426525
P48729	P63104	0.426525
P48729	P61981	0.426525
P48729	P49841	0.426525
P48729	P49840	0.426525
P48729	P35222	0.75
P48729	O15169	0.75
P15884	Q8N2W9	0.426525
P15884	P10275	0.75
P15884	Q15796	0.543131
P15884	P14923	0.426525
P15884	P12956	0.426525
P15884	P35222	0.75
P15884	Q09472	0.75
P15884	O15105	0.75
P15884	Q13363	0.426525
P15884	Q06455	0.75
P05412	Q13526	0.426525
P05412	Q9NQB0	0.543131
P05412	Q13469	0.75
P05412	P10275	0.75
P05412	P19838	0.75
P05412	Q09472	0.543131
P05412	P84022	0.75
P05412	P35222	0.75
P05412	O14641	0.426525
P05412	Q13485	0.75
P05412	Q92905	0.426525
P05412	Q15796	0.75
P05412	P49841	0.606445
P61968	O15198	0.717303
P61968	Q13363	0.75
P61968	P49841	0.251739
P49840	P25054	0.426525
P49840	O75581	0.75
P49840	P35222	0.426525
P49840	P48729	0.426525
P49840	P61981	0.75
P49840	P49841	0.75
P49840	Q01974	0.75
P49840	Q9Y2T1	0.426525
P49840	O15169	0.75
P08575	P19022	0.75
P08575	P35222	0.75
Q9Y2T1	P48729	0.75
Q9Y2T1	Q9Y4X0	0.75
Q9Y2T1	O14641	0.35629099999999997
Q9Y2T1	P35222	0.75
Q9Y2T1	P49840	0.426525
Q9Y2T1	P25054	0.75
Q9Y2T1	O14640	0.35629099999999997
Q9Y2T1	Q92997	0.35629099999999997
Q9Y2T1	P49841	0.75
Q9Y2T1	P84022	0.75
Q9Y2T1	O15169	0.426525
P62136	P31749	0.75
P62136	P10275	0.75
P62136	O75533	0.639653
P62136	P46937	0.75
P62136	P12830	0.75
P62136	P01106	0.435475
P62136	O15169	0.75
P15941	P00519	0.75
P15941	P35222	0.75
P15941	P49841	0.75
O15105	Q8N2W9	0.717303
O15105	P36897	0.75
O15105	Q09472	0.75
O15105	Q9HAU4	0.75
O15105	Q15797	0.75
O15105	Q15796	0.75
O15105	Q9Y3F4	0.75
O15105	Q9UJU2	0.75
O15105	O43318	0.75
O15105	Q8TEW0	0.75
O15105	O75925	0.717303
O15105	P15884	0.75
O15105	P12956	0.717303
O15105	P46937	0.75
O15105	O14640	0.75
O15105	Q9UNY4	0.717303
O15105	Q13485	0.75
O15105	Q92905	0.75
O15105	O15198	0.75
O15105	P35222	0.75
O15105	P84022	0.75
O15105	O15169	0.75
P12956	P08107	0.75
P12956	P31749	0.426525
P12956	Q9NQB0	0.75
P12956	P19838	0.426525
P12956	P12757	0.717303
P12956	P63104	0.706548
P12956	P84022	0.717303
P12956	O15105	0.717303
P12956	P10275	0.75
P12956	Q8N2W9	0.543131
P12956	Q92597	0.75
P12956	P00519	0.426525
P12956	P01106	0.75
P12956	P31751	0.426525
P12956	P15884	0.426525
P12956	P11021	0.75
Q13418	P31749	0.75
Q13418	P25054	0.75
Q13418	P04792	0.75
Q13418	P31751	0.75
Q13418	P49841	0.75
P22670	Q15797	0.717303
P22670	O15198	0.717303
P22670	Q13485	0.717303
Q9H307	Q13363	0.75
Q9H307	P61981	0.75
Q9H307	P63104	0.75
Q92997	P25054	0.35629099999999997
Q92997	Q04721	0.505993
Q92997	Q01974	0.426525
Q92997	Q9Y2T1	0.35629099999999997
Q92997	Q92837	0.75
Q92997	P98082	0.75
Q92997	P49841	0.75
Q92997	O15169	0.75
P34925	O14640	0.426525
P34925	P13569	0.75
Q8TEW0	O15105	0.75
Q8TEW0	P31947	0.75
Q8TEW0	P35222	0.75
Q8TEW0	Q13485	0.75
Q8TEW0	P63104	0.75
Q8TEW0	P61981	0.75
Q8TEW0	Q15796	0.75
Q8TEW0	P84022	0.75
P63244	P10275	0.75
P63244	P13569	0.75
P63244	Q92905	0.426525
P55036	P62979	0.594141
P55036	P15923	0.75
P55036	P01106	0.435475
P55036	Q9UMX0	0.75
O14640	P31749	0.75
O14640	Q9HAU4	0.426525
O14640	Q01974	0.426525
O14640	O15105	0.75
O14640	P48729	0.426525
O14640	P25054	0.75
O14640	Q04721	0.75
O14640	Q9Y2T1	0.35629099999999997
O14640	Q92837	0.75
O14640	P84022	0.75
O14640	O14641	0.36467
O14640	Q13485	0.75
O14640	Q15797	0.75
O14640	Q15796	0.75
O14640	P34925	0.426525
O14640	P49841	0.75
O14640	O15169	0.75
Q13526	Q05209	0.426525
Q13526	Q9NRR5	0.75
Q13526	Q13469	0.426525
Q13526	P05412	0.426525
Q13526	P84022	0.5556300000000001
Q13526	P35222	0.75
Q13526	P98082	0.426525
Q13526	Q15796	0.5556300000000001
Q13526	P01106	0.36467
Q13526	Q99750	0.717303
Q13526	O15169	0.543131
Q9UJU2	Q8N2W9	0.426525
Q9UJU2	P25054	0.5556300000000001
Q9UJU2	O15105	0.75
Q9UJU2	Q09472	0.35629099999999997
Q9UJU2	Q15796	0.75
Q9UJU2	P14923	0.35629099999999997
Q9UJU2	P46937	0.39125
Q9UJU2	P35222	0.75
Q9UJU2	P84022	0.75
P35637	P35222	0.75
P35637	P49841	0.75
O75197	O75084	0.35629099999999997
O75197	Q92837	0.75
O75197	P19022	0.75
O75197	O00144	0.35629099999999997
O75197	O15198	0.717303
O75197	P49841	0.426525
O75197	O15169	0.75
Q9NQB0	Q8N2W9	0.426525
Q9NQB0	Q09472	0.75
Q9NQB0	P01106	0.543131
Q9NQB0	P14923	0.75
Q9NQB0	P12956	0.75
Q9NQB0	P46937	0.39125
Q9NQB0	P35222	0.75
Q9NQB0	P05412	0.543131
O75533	O15198	0.717303
O75533	Q15797	0.717303
O75533	P01106	0.426525
O75533	P63104	0.75
O75533	P61981	0.75
O75533	P62136	0.639653
O75533	P49841	0.75
